Date,Count
1/1/18,38
1/2/18,79
1/3/18,80
1/4/18,86
1/5/18,117
1/6/18,98
1/7/18,74
1/8/18,98
1/9/18,74
1/10/18,81
1/11/18,64
1/12/18,97
1/13/18,78
1/14/18,53
1/15/18,64
1/16/18,64
1/17/18,98
1/18/18,86
1/19/18,83
1/20/18,43
1/21/18,53
1/22/18,197
1/23/18,200
1/24/18,204
1/25/18,209
1/26/18,174
1/27/18,232
1/28/18,192
1/29/18,186
1/30/18,207
1/31/18,215
2/1/18,238
2/2/18,204
2/3/18,204
2/4/18,219
2/5/18,186
2/6/18,226
2/7/18,211
2/8/18,210
2/9/18,198
2/10/18,113
2/11/18,147
2/12/18,165
2/13/18,156
2/14/18,258
2/15/18,185
2/16/18,189
2/17/18,175
2/18/18,195
2/19/18,184
2/20/18,191
2/21/18,208
2/22/18,195
2/23/18,192
2/24/18,190
2/25/18,172
2/26/18,215
2/27/18,172
2/28/18,94
3/1/18,190
3/2/18,75
3/3/18,99
3/4/18,207
3/5/18,196
3/6/18,190
3/7/18,233
3/8/18,171
3/9/18,187
3/10/18,200
3/11/18,194
3/12/18,204
3/13/18,171
3/14/18,212
3/15/18,185
3/16/18,155
3/17/18,138
3/18/18,123
3/19/18,172
3/20/18,256
3/21/18,196
3/22/18,176
3/23/18,151
3/24/18,139
