Date,Location,Deaths,Injuries,Description
"July 26, 1764","Greencastle, Pennsylvania",10,2,"Enoch Brown school massacre: Perhaps the earliest shooting to happen on school or college property, in what would become the United States, was the notorious Enoch Brown school massacre during the Pontiac's War. Four Delaware (Lenape) American Indians entered the schoolhouse near present-day Greencastle, Pennsylvania, and shot and killed schoolmaster Enoch Brown and nine children (reports vary). Only two children survived. However, this incident may only incidentally be considered a school ""shooting"" because only the teacher was shot, while the other nine victims were killed with melee weapons. [1][2]"
"November 12, 1840","Charlottesville, Virginia",1,0,"John Anthony Gardner Davis, a law professor at the University of Virginia, was shot by student Joseph Semmes, and died from his wound three days later.[3][4]"
"November 2, 1853","Louisville, Kentucky",0,1,"Student Matthew Ward took a pistol to school, where he shot the schoolmaster Mr. Butler as revenge for what Ward thought was excessive punishment of his brother the day before. Ward was acquitted.[5]"
"August 16, 1856","Florence, Alabama",2,0,"The schoolmaster had a tame sparrow and had warned the students not to harm it, threatening death. One of the boys stepped on the bird and killed it; he was afraid to return to school but did so. After lessons, the master took the boy into a private room and strangled him to death. The boy's father went to the school and shot the schoolmaster dead.[6]"
"July 8, 1858","Baltimore, Maryland",1,0,"The 15-year-old son of Col. John T. Farlow (Baltimore's Marshal of Police 1867–70), was killed during a Sabbath School gathering. The perpetrator escaped, but several arrests were made.[7]"
"January 21, 1860","Todd County, Kentucky",1,0,"A son of Col. Elijah Sebree was killed by another student. Young Sebree was threatening the other boy and said he intended to kill him. The other student got a gun and walked up to Sebree in the schoolhouse, where he killed him.[8]"
"February 6, 1864","Ashland County, Ohio",1,0,"George W. Longfelt, the school teacher of the Pyfer's School House, killed student Alfred Desem and fled.[9]"
"February 16, 1867","Knights Ferry, California",2,0,"Mr. McGinnis was killed by his daughter's teacher after McGinnis threatened the teacher for expelling his daughter from school. When McGinnis' son learned of this, he went to the school and killed the teacher.[10]"
"April 2, 1867","Madison, Florida",1,0,"Frank Pope, a pupil at the St. John's seminary, killed his teacher Mr. Bristow with a pistol.[11]"
"June 8, 1867","New York City, New York",0,1,"13-year-old Arthur Day, secretly took a loaded pistol to Public School No. 18 to shoot a dog he said had bitten him. While playing with the pistol, Day accidentally injured classmate Robert Morton.[12]"
"December 22, 1868","Chattanooga, Tennessee",3,0,"A boy who refused to be whipped by his teacher left the school. The next day he returned with his brother and a friend for revenge. Not finding the teacher at the school, they continued to his house, where a gun battle took place and three died. Only the original boy who initiated the attack survived.[13]"
"January 27, 1871","Knoxville, Tennessee",1,0,"John Roberts, aged ten or twelve, accidentally had one of his eyes shot out at school and died.[14]"
